ID_PUBLISHER;PUBLISHER;HEADQUARTERS_COUNTRY;HEADQUARTERS_CITY;CREATION_DATE;NOTES
artdink;Artdink;Japan;Tokyo;01/01/1986;""
articcomputing;Artic Computing;UK;Brandesburton;01/01/1980;"Defunct in 1986."
arushentertainment;Arush Entertainment;United States;Scottsdale;01/01/1999;"Acquired by HIP Interactive in 2004; defunct in 2005."
arxeltribe;Arxel Tribe;Slovenia;;01/01/1989;"Last game published in 2003."
ascaron;Ascaron;Germany;Gütersloh;01/01/1992;"Known as Ascom until 1996. Defunct in 2009. Most assets acquired by Kalypso Media."
ascgames;ASC Games;United States;Darien;01/01/1992;"Defunct in 2000."
asmikcorporationofamerica;Asmik Corporation of America;Japan;;01/01/1985;"Merged with Ace Entertainment."
aspyrmedia;Aspyr Media;United States;Austin;01/01/1996;"Specializes in porting Windows games to Mac OS."
astragon;Astragon;Germany;Mönchengladbach;01/01/2000;""
atariinc;Atari, Inc;United States;Sunnyvale;01/01/1972;"Bought by Warner Bros. in 1976. Closed in 1984, assets split between Atari Corporation and Atari Games."
atarisa;Atari, SA;France;Paris;01/01/2003;"Formerly GT Interactive Software, became full subsidiary of Atari, SA in 2008."
athena;Athena;Japan;;01/01/1987;"No longer publishes video games."
atlantissoftware;Atlantis Software;UK;London;01/01/1984;"Defunct in 1992."
aqinteractive;AQ Interactive;Japan;Tokyo;01/01/2000;"Also a video game developer."
artechdigitalentertainment;Artech Digital Entertainment;Canada;Ottawa;01/01/1982;"Defunct in 2011."
asciicorporation;ASCII Corporation;Japan;Tokyo;01/01/1977;"Acquired by Kadokawa Group Holdings in 2004."
atlus;Atlus;Japan;Shinjuku;01/01/1986;"Also a video game developer. Purchased by Sega in 2013."
atticentertainmentsoftware;Attic Entertainment Software;Germany;Albstadt;01/01/1990;"Defunct in 2001."
audiogeniclimited;Audiogenic Limited;UK;Reading;01/01/1975;"Defunct in 1985; reformed as Audiogenic Software Ltd."
august;August;Japan;;01/01/2001;""
aurandevelopment;Auran Development;Australia;Helensvale;01/01/1995;"Now known as N3V Games."
automatauk;Automata UK;UK;Portsmouth;01/01/1977;"Defunct in 1985."
autumngames;Autumn Games;United States;New York City;01/01/2007;"Focused on providing publishing services for independent developers for digital platforms."
avalonhill;Avalon Hill;United States;Renton;01/01/1954;"Acquired by Hasbro in 1998."
aventurasad;Aventuras AD;Spain;;01/01/1987;"Defunct in 1992."
aventurinesa;Aventurine SA;Greece;Athens;01/01/2002;"Also a video game developer."
bamentertainment;BAM! Entertainment;United States;San Jose;01/01/1999;"Dormant since 2004."
bandaigames;Bandai Games;Japan;Shinagawa;01/01/1950;"Video game operations merged with Namco as Namco Bandai Games. No longer publishes video games."
bandainamcoentertainment;Bandai Namco Entertainment;Japan;Shinagawa;01/01/1955;""
banpresto;Banpresto;Japan;Shinagawa;01/01/1977;"Acquired by Namco Bandai Holdings. No longer publishes video games."
bbcmultimedia;BBC Multimedia;UK;London;01/01/1995;"Defunct in 2005."
beaglebros;Beagle Bros;United States;San Diego;01/01/1980;"Defunct in 1991."
bergsalalightweight;Bergsala Lightweight;Japan;Tokyo;01/01/1995;""
berkeleysystems;Berkeley Systems;United States;Berkeley;01/01/1987;"Acquired by Sierra in 1997. Defunct in 2000."
bethesdasoftworks;Bethesda Softworks;United States;Rockville;01/01/1986;"Also a video game developer."
beyondsoftware;Beyond Software;United Kingdom;;01/01/1983;"Acquired by Telecomsoft in 1985."
bigfishgames;Big Fish Games;United States;Seattle;01/01/2002;"Acquired by Aristocrat Technologies in 2018"
bigfivesoftware;Big Five Software;United States;Van Nuys;01/01/1980;"Defunct in 1984."
bigbeninteractive;Bigben Interactive;France;Lesquin;01/01/1981;""
blackbeangames;Black Bean Games;Italy;Gazzada Schianno;01/01/2004;"Merged with Milestone S.r.l. in 2012."
bluebyte;Blue Byte;Germany;Düsseldorf;01/01/1988;"Also a video game developer. Acquired by Ubisoft and their games are now published by Ubisoft."
broderbund;Broderbund;United States;;01/01/1980;"Acquired by Ubisoft, eventually sold to The Learning Company. No longer publishes video games."
blacklegend;Black Legend;UK;Welwyn;01/01/1993;"Defunct in 1996."
blizzardentertainment;Blizzard Entertainment;United States;Irvine;01/01/1991;"Also a video game developer. Acquired by Davidson & Associates in 1994, renamed from Silicon & Synapse. Acquired by CUC International in 1996, which merged into Cendant in 1997 and was sold to Havas in 1998. Acquired by Vivendi and become part of Vivendi Games group in 1998. Merged into Activision Blizzard in 2008."
blueribbon;Blue Ribbon;UK;Doncaster;01/01/1985;"Label of CDS Micro Systems. Defunct in 1991."
bohemiainteractive;Bohemia Interactive;Czech Republic;Prague;01/01/1999;""
boxofficeinc;Box Office, Inc.;United States;St. Paul;01/01/1987;"Published last game in 1989."
brashentertainment;Brash Entertainment;United States;Hollywood;01/01/2007;"Defunct in 2008."
broccoli;Broccoli;Japan;Tokyo;01/01/1994;""
bugbyte;Bug-Byte;UK;Liverpool;01/01/1980;""
bubblebussoftware;Bubble Bus Software;UK;Tonbridge;01/01/1982;"Defunct in 1989."
budgeco;BudgeCo;United States;California;01/01/1981;"Defunct in 1983."
bulletproofsoftware;Bullet-Proof Software;Japan;;01/01/1980;"Defunct."
bungie;Bungie;Washington;Bellevue;01/01/1991;"Also a video game developer. Formerly a subsidiary of Microsoft. Formerly had a publishing deal with Activision."
ce;C&E;Taiwan;Taipei;01/01/1990;"No longer publishes video games."
californiadreams;California Dreams;United States;California;01/01/1987;"Publishing label of Logical Design Works. Defunct in 1991."
californiapacificcomputercompany;California Pacific Computer Company;United States;Davis;01/01/1979;"Defunct in 1983."
camerica;Camerica;Illinois;Chicago;01/01/1988;""
canalmultimedia;Canal+ Multimedia;France;;01/01/1984;"Publishing arm of the Canal+ Group. No longer publishes video games."
candysoft;Candy Soft;Japan;;01/01/1996;""
capcom;Capcom;Japan;Osaka;01/01/1979;"Also a video game developer."
capstonesoftware;Capstone Software;United States;Miami;01/01/1984;"Subsidiary of IntraCorp. Defunct in 1996."
caramelbox;Caramel Box;Japan;;01/01/2002;"Division of HOBIBOX. Formerly known as HimeyaSoft."
carrylab;Carry Lab;Japan;;01/01/1981;"Defunct."
casadygreene;Casady & Greene;United States;;01/01/1984;"Defunct in 2003."
casescomputersimulations;Cases Computer Simulations;UK;London;01/01/1982;"Published last game in 1994."
cave;Cave;Japan;Tokyo;01/01/1994;""
cbselectronics;CBS Electronics;United States;;01/01/1982;"Closed in 1984."
cdprojektred;CD Projekt Red;Poland;Warsaw;01/01/1994;""
cdssoftware;CDS Software;UK;Doncaster;01/01/1982;"Reformed as iDigicon Ltd in 2002."
cdvsoftwareentertainmentag;CDV Software Entertainment AG;Germany;Bruchsal;01/01/1989;"Defunct in 2010."
centuri;Centuri;United States;Hialeah;01/01/1969;"Known as Allied Leisure until 1980. Defunct in 1985."
chessbase;ChessBase;Germany;Hamburg;01/01/1986;""
spikechunsoft;Spike Chunsoft;Japan;Tokyo;01/01/1984;"Merged with Spike in 2012. Subsidiary of Dwango."
cinemax;Cinemax;Czech Republic;Prague;01/01/1998;""
cigames;CI Games;Poland;Warsaw;01/01/2002;"Also a video game developer. Also known as City Interactive."
cinematronics;Cinematronics;United States;El Cajon;01/01/1975;"Acquired by Tradewest in 1987 and renamed to Leland Corporation."
cinemaware;Cinemaware;United States;Burlingame;01/01/1985;"Defunct in 1991. Reestablished as Cinemaware Inc. in 2000."
circus;Circus;Japan;Hasuda;01/01/2000;""
clubkidsoft;Club Kidsoft;United States;Los Gatos;01/01/1992;"Defunct."
thecocacolacompany;The Coca-Cola Company;Georgia;Atlanta;01/01/1886;"No longer publishes video games."
codemasters;Codemasters;UK;Warwickshire;01/01/1985;"Also a video game developer."
coktelvision;Coktel Vision;France;Paris;01/01/1985;"Acquired by Sierra in 1993."
coleco;Coleco;United States;;01/01/1932;"Also a video game console (ColecoVision and Telstar) and video game developer. Revived in 2005, after being defunct since 1988."
colordreams;Color Dreams;United States;;01/01/1988;"Also a video game developer."
commavid;CommaVid;United States;Aurora;01/01/1981;"Defunct in 1983."
commercialdatasystems;Commercial Data Systems;Canada;Emerald Park;01/01/1982;"Exited the video game industry in 1990."
commodore;Commodore;United States;West Chester;01/01/1954;"Defunct in 1994."
compile;Compile;Japan;;01/01/1982;"Defunct in 2003."
compileheart;Compile Heart;Japan;Tokyo;01/01/2006;"Subsidiary of Idea Factory."
computerandvideogames;Computer and Video Games;UK;Bath;01/01/1981;"Label of Future Publishing. Also known C&VG, CVG, or C+VG. Defunct in 2004."
conspiracyentertainment;Conspiracy Entertainment;United States;Santa Monica;01/01/1997;"Also a video game developer."
coredesign;Core Design;UK;Derby;01/01/1988;"Acquired by Eidos Interactive in 1996; defunct in 2010."
cosmicorporation;Cosmi Corporation;United States;Carson;01/01/1982;""
craveentertainment;Crave Entertainment;United States;Newport Beach;01/01/1997;""
creativecomputing;Creative Computing;United States;;01/01/1974;"Defunct in 1985."
creatures;Creatures;Japan;Tokyo;01/01/1995;"No longer publishes video games."
crimsoncow;Crimson Cow;Germany;Hamburg;01/01/2002;""
crlgroup;CRL Group;UK;London;01/01/1982;"Published last game in 1989."
cronosoft;Cronosoft;UK;;01/01/2002;""
culturebrainexcel;Culture Brain Excel;Japan;Tokyo;01/01/1980;""
cryointeractive;Cryo Interactive;France;Paris;01/01/1989;"Defunct in 2002; assets acquired by Dreamcatcher Interactive."
crystalcomputing;Crystal Computing;UK;Manchester;01/01/1982;"Reestablished as Design Design in 1984."
crystaldynamics;Crystal Dynamics;United States;Redwood City;01/01/1992;"Also a video game developer. Acquired by Eidos Interactive (later Square Enix Europe) and their games are now published by Square Enix."
crytek;Crytek;Germany;Frankfurt;01/01/1999;"Also a video game developer."
cyberdreams;Cyberdreams;United States;Calabasas;01/01/1990;"Defunct in 1997."
cyberdreams;Cyberdreams;UK;Liverpool;01/01/2007;"Also a video game developer. Successor of Ultrasoft."
cybersoft;Cybersoft;Florida;North Miami Beach;01/01/1994;"Label of GameTek. Last game published in 1995."
d3publisher;D3 Publisher;Japan;Tokyo;01/01/1996;""
daedalicentertainment;Daedalic Entertainment;Germany;Hamburg;01/01/2007;""
darxabre;DarXabre;The Netherlands;;01/01/2001;"Defunct."
datamost;Datamost;United States;Chatsworth;01/01/1981;"Defunct in 1985."
datampolystar;Datam Polystar;Japan;Tokyo;01/01/1990;"No longer publishes video games."
datasoft;Datasoft;United States;Chatsworth;01/01/1980;"Reformed as IntelliCreations in 1987."
dataage;Data Age;United States;California;01/01/1982;"Defunct in 1983."
databecker;Data Becker;Germany;Düsseldorf;01/01/1980;"Defunct in 2014."
dataeast;Data East;Japan;Tokyo;01/01/1976;""
davidsonassociates;Davidson & Associates;United States;Torrance;01/01/1983;"Acquired by CUC International in 1996. Defunct in 1999."
